# Temp.   Mavg     UBinder    Susc.      Cv
   750  0.017962  0.442072  0.001614  0.800329
   725  0.018528  0.443407  0.001802  0.885014
   700  0.018920  0.436790  0.001973  0.944661
   680  0.019519  0.432000  0.002184  1.022824
   660  0.020026  0.443538  0.002343  1.100834
   640  0.020756  0.448581  0.002494  1.250581
   620  0.021691  0.448480  0.002803  1.315566
   600  0.022799  0.431623  0.003335  1.436868
   580  0.024063  0.434921  0.003872  1.581619
   560  0.026362  0.442400  0.004727  1.806743
   540  0.029295  0.437928  0.006090  2.047671
   520  0.034090  0.450933  0.008347  2.321370
   500  0.042389  0.445928  0.013576  2.710554
   480  0.061027  0.441785  0.029859  3.485341
   460  0.146635  0.558077  0.094602  6.686368
   440  0.341789  0.660787  0.025199  9.229063
   420  0.438416  0.664917  0.012820  8.028390
   400  0.506501  0.665900  0.007804  7.492582
   380  0.558591  0.666255  0.005345  7.099639
   360  0.602040  0.666400  0.004239  6.047325
   340  0.639063  0.666503  0.003113  5.807368
   320  0.671569  0.666552  0.002560  4.873369
   300  0.701513  0.666589  0.002021  4.418954
   275  0.735089  0.666610  0.001768  3.908662
   250  0.766225  0.666632  0.001296  3.715085
   225  0.794847  0.666643  0.001030  3.349014
   200  0.821843  0.666651  0.000858  3.055323
   175  0.847412  0.666657  0.000628  2.784400
   150  0.871807  0.666661  0.000461  2.618443
   125  0.894986  0.666663  0.000339  2.373850
   100  0.917409  0.666665  0.000278  2.230644
    75  0.939002  0.666666  0.000208  2.119194
    50  0.959971  0.666666  0.000102  1.950619
    25  0.980204  0.666667  0.000053  1.863324
    10  0.992132  0.666667  0.000024  1.759707
     1  0.999220  0.666667  0.000002  1.367130
